"otu" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"22" "FN421585.1.1365" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" NA
"23" "GQ389063.1.1478" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Novosphingobium" "Ambiguous_taxa"
"24" "HF548406.1.1395" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" "Ambiguous_taxa"
"25" "JF265850.1.1359" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales Incertae Sedis" "Acidibacter" "Ambiguous_taxa"
"26" "JX223090.1.1452" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhodobiaceae" "uncultured" "uncultured bacterium"
"27" "GDHX01215817.4.1477" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Nitrobacter" "Austrofundulus limnaeus"
"28" "FN546860.1.1411" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Phyllobacteriaceae" "Mesorhizobium" NA
"29" "FN794227.1.1213" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" "Ambiguous_taxa"
"30" "GQ264021.1.1373" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Hyphomicrobiaceae" NA NA
"31" "GU940705.1.1318" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Ambiguous_taxa" "Ambiguous_taxa"
"32" "JF265791.1.1314" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillales Incertae Sedis" "Reyranella" "uncultured bacterium"
"33" "FM209302.1.1494" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" NA NA
"34" "FR675947.1.1459" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA NA
"35" "FM209322.1.1496" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Ramlibacter" NA
"36" "FQ658643.1.1351" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Ambiguous_taxa" "Ambiguous_taxa"
"37" "EF019297.1.1330" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Variibacter" NA
"38" "GQ115602.1.1307" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"39" "JQ426189.1.1442" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Ambiguous_taxa" "Ambiguous_taxa"
"40" "AJ532714.1.1323" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Phaselicystidaceae" "Phaselicystis" "Ambiguous_taxa"
"41" "GQ263058.1.1429" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Xanthobacteraceae" "Ambiguous_taxa" "Ambiguous_taxa"
"42" "FJ936965.1.1497" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Arenimonas" "uncultured bacterium"
"43" "GBGR01024531.3.1247" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadales Incertae Sedis" "Acidibacter" NA
"44" "JF267691.1.1491" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Nitrosomonadaceae" "uncultured" "uncultured bacterium"
"45" "GQ369048.1.1385" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA NA
"46" "FN421989.1.1411" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" NA NA
"47" "FR853451.1.1447" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium" "uncultured bacterium"
"48" "HQ190278.1.1525" "Bacteria" "Verrucomicrobia" "OPB35 soil group" "uncultured bacterium" "uncultured bacterium" "uncultured bacterium" "uncultured bacterium"
